  r(μm)     depth(nm)
-17.1229  -534.14135705
-17.1006  -534.54705843
-17.0784  -534.76893090
-17.0562  -534.63231896
-17.0340  -534.57544436
-17.0118  -534.59381874
-16.9896  -534.22426396
-16.9673  -534.09425730
-16.9451  -534.15073201
-16.9229  -533.86894646
-16.9007  -533.77948381
-16.8785  -534.03603459
-16.8563  -533.95845752
-16.8340  -533.98017588
-16.8118  -534.21789341
-16.7896  -534.04814101
-16.7674  -533.83083791
-16.7452  -533.96748255
-16.7230  -533.82141587
-16.7007  -533.50542538
-16.6785  -533.56344613
-16.6563  -533.43544026
-16.6341  -533.39881879
-16.6119  -533.57067088
-16.5896  -533.87520578
-16.5674  -533.67776847
-16.5452  -533.84539148
-16.5230  -533.85085708
-16.5008  -533.50658864
-16.4786  -533.21819907
-16.4563  -533.26289843
-16.4341  -533.01610158
-16.4119  -532.90022540
-16.3897  -532.98383557
-16.3675  -533.08381422
-16.3453  -533.12192587
-16.3230  -533.19872404
-16.3008  -533.10777884
-16.2786  -533.19324450
-16.2564  -533.37853525
-16.2342  -533.39497029
-16.2120  -533.23085610
-16.1897  -533.53143616
-16.1675  -533.61782519
-16.1453  -533.48665592
-16.1231  -533.59430136
-16.1009  -533.43078481
-16.0786  -533.20784939
-16.0564  -533.13653473
-16.0342  -532.95397104
-16.0120  -533.07005391
-15.9898  -533.18982189
-15.9676  -533.43796989
-15.9453  -533.62482452
-15.9231  -533.58961493
-15.9009  -533.56343401
-15.8787  -533.51890809
-15.8565  -533.71606248
-15.8343  -533.80162481
-15.8120  -534.03914537
-15.7898  -534.06106457
-15.7676  -534.11302496
-15.7454  -534.19197190
-15.7232  -534.01938752
-15.7010  -534.02652452
-15.6787  -533.99149584
-15.6565  -533.80084856
-15.6343  -534.03803305
-15.6121  -534.23642273
-15.5899  -534.13775858
-15.5677  -534.13347703
-15.5454  -534.29828194
-15.5232  -534.16175647
-15.5010  -534.13427105
-15.4788  -534.09850934
-15.4566  -533.86088819
-15.4343  -533.97264791
-15.4121  -534.28635638
-15.3899  -534.18193009
-15.3677  -534.40169801
-15.3455  -534.60791307
-15.3233  -534.44042161
-15.3010  -534.40725839
-15.2788  -534.27765240
-15.2566  -533.96055245
-15.2344  -534.02276259
-15.2122  -534.05980906
-15.1900  -533.84482997
-15.1677  -533.94187318
-15.1455  -534.22994801
-15.1233  -534.16608410
-15.1011  -534.14112828
-15.0789  -534.25821627
-15.0567  -534.02133025
-15.0344  -533.86726427
-15.0122  -533.64971643
-14.9900  -533.60315723
-14.9678  -533.61699065
-14.9456  -533.94940106
-14.9234  -533.81844799
-14.9011  -533.99058055
-14.8789  -534.06091499
-14.8567  -534.03586974
-14.8345  -534.06241526
-14.8123  -533.96069592
-14.7900  -533.86287802
-14.7678  -533.81635097
-14.7456  -533.74940353
-14.7234  -533.98270439
-14.7012  -533.87728098
-14.6790  -533.90166121
-14.6567  -534.10127894
-14.6345  -534.22285110
-14.6123  -534.21727330
-14.5901  -534.30587788
-14.5679  -534.35987009
-14.5457  -534.29393657
-14.5234  -534.48243620
-14.5012  -534.46767063
-14.4790  -534.49437151
-14.4568  -534.71059983
-14.4346  -534.77823159
-14.4124  -534.76408632
-14.3901  -534.91135036
